Category: All categories,,
,,
Week,cybertruck: (United States),model y: (United States)
1/6/19,0,2
1/13/19,0,1
1/20/19,0,1
1/27/19,0,1
2/3/19,0,2
2/10/19,0,1
2/17/19,0,1
2/24/19,0,1
3/3/19,<1,8
3/10/19,0,42
3/17/19,0,13
3/24/19,<1,4
3/31/19,0,3
4/7/19,0,2
4/14/19,0,2
4/21/19,0,2
4/28/19,0,2
5/5/19,0,2
5/12/19,<1,2
5/19/19,<1,2
5/26/19,0,2
6/2/19,0,2
6/9/19,<1,2
6/16/19,<1,2
6/23/19,0,2
6/30/19,<1,2
7/7/19,0,2
7/14/19,0,2
7/21/19,0,2
7/28/19,0,2
8/4/19,0,2
8/11/19,0,2
8/18/19,0,2
8/25/19,0,2
9/1/19,0,2
9/8/19,0,2
9/15/19,<1,2
9/22/19,0,2
9/29/19,0,2
10/6/19,0,2
10/13/19,<1,3
10/20/19,<1,4
10/27/19,0,5
11/3/19,1,3
11/10/19,<1,2
11/17/19,92,6
11/24/19,100,5
12/1/19,29,3
12/8/19,18,2
12/15/19,12,2
12/22/19,11,3
12/29/19,8,4
1/5/20,8,4
1/12/20,6,3
1/19/20,6,4
1/26/20,6,7
2/2/20,6,6
2/9/20,5,4
2/16/20,6,5
2/23/20,6,6
3/1/20,5,7
3/8/20,4,6
3/15/20,2,6
3/22/20,2,5
3/29/20,2,4
4/5/20,3,3
4/12/20,3,3
4/19/20,3,3
4/26/20,3,3
5/3/20,3,3
5/10/20,3,3
5/17/20,3,3
5/24/20,6,5
5/31/20,4,5
6/7/20,4,5
6/14/20,4,5
6/21/20,5,7
6/28/20,5,6
7/5/20,5,6
7/12/20,5,10
7/19/20,5,7
7/26/20,4,7
8/2/20,4,6
8/9/20,4,6
8/16/20,4,6
8/23/20,3,6
8/30/20,3,6
9/6/20,3,6
9/13/20,3,5
9/20/20,5,6
9/27/20,3,7
10/4/20,3,6
10/11/20,3,7
10/18/20,6,6
10/25/20,4,5
11/1/20,3,4
11/8/20,3,5
11/15/20,3,6
11/22/20,3,6
11/29/20,3,5
12/6/20,3,5
12/13/20,3,6
12/20/20,3,7
12/27/20,3,8
1/3/21,3,8
1/10/21,4,8
1/17/21,4,7
1/24/21,4,7
1/31/21,4,7
2/7/21,4,7
2/14/21,4,8
2/21/21,5,9
2/28/21,4,8
3/7/21,5,8
3/14/21,4,8
3/21/21,4,8
3/28/21,4,9
4/4/21,4,8
4/11/21,5,8
4/18/21,4,8
4/25/21,4,8
5/2/21,5,8
5/9/21,7,9
5/16/21,8,8
5/23/21,6,8
5/30/21,6,9
6/6/21,5,9
6/13/21,4,9
6/20/21,4,9
6/27/21,4,9
7/4/21,5,8
7/11/21,5,9
7/18/21,5,8
7/25/21,4,8
8/1/21,4,8
8/8/21,4,8
8/15/21,4,8
8/22/21,4,9
8/29/21,4,8
9/5/21,3,9
9/12/21,3,9
9/19/21,3,8
9/26/21,3,9
10/3/21,4,8
10/10/21,4,8
10/17/21,4,8
10/24/21,3,9
10/31/21,4,9
11/7/21,4,9
11/14/21,4,8
11/21/21,5,8
11/28/21,5,8
12/5/21,4,7
12/12/21,4,7
12/19/21,4,8
12/26/21,4,8
1/2/22,5,9
1/9/22,4,8
1/16/22,3,7
1/23/22,6,9
1/30/22,4,9
2/6/22,3,9
2/13/22,3,9
2/20/22,3,9
2/27/22,4,10
3/6/22,4,14
3/13/22,4,13
3/20/22,4,12
3/27/22,7,12
4/3/22,9,11
4/10/22,5,10
4/17/22,4,9
4/24/22,4,9
5/1/22,4,8
5/8/22,3,9
5/15/22,4,9
5/22/22,3,9
5/29/22,3,10
6/5/22,4,9
6/12/22,4,11
6/19/22,4,11
6/26/22,3,10
7/3/22,3,9
7/10/22,3,8
7/17/22,3,8
7/24/22,3,8
7/31/22,3,9
8/7/22,3,9
8/14/22,3,9
8/21/22,3,9
8/28/22,3,8
9/4/22,3,8
9/11/22,2,8
9/18/22,2,8
9/25/22,3,8
10/2/22,3,7
10/9/22,2,8
10/16/22,3,8
10/23/22,3,8
10/30/22,3,8
11/6/22,2,7
11/13/22,2,8
11/20/22,3,7
11/27/22,3,8
12/4/22,3,8
12/11/22,3,8
12/18/22,3,11
12/25/22,3,11
1/1/23,3,10
1/8/23,3,18
1/15/23,4,26
1/22/23,3,18
1/29/23,4,18
2/5/23,5,16
2/12/23,3,14
2/19/23,3,13
2/26/23,5,13
3/5/23,4,13
3/12/23,4,12
3/19/23,2,11
3/26/23,4,13
